asset,year,capacity,unit,capex_aud
EAF + aux,2028,1600000.0,t/yr,480000000.0
DRI shaft (MIDREX Flex),2030,1600000.0,t/yr,400000000.0
Electrolyser,2030,58.488529816684576,MW,84223482.93602578
Grid link,2030,60.26856384589999,MW,24107425.538359996
Electrolyser,2033,80.39884356350223,MW,88438727.91985245
Grid link,2033,299.54968617981524,MW,119819874.4719261
Solar,2033,527.1237241973315,MW,579836096.6170647
Electric heater,2037,87.21257294866821,MW,34885029.17946728
Electrolyser,2037,266.40381103559685,MW,226443239.3802573
Grid link,2037,1190.2219430050343,MW,476088777.20201373
H2 storage,2037,72.36307188207843,MWh,1447261.4376415685
Solar,2037,1232.0749819818036,MW,1355282480.1799839
Wind,2037,135.1144473336643,MW,297251784.1340614
Electric heater,2040,111.34149932970077,MW,44536599.73188031
Electrolyser,2040,223.49943697478068,MW,156449605.88234648
H2 burner,2040,4.275877407084467,MW,128276.32221253401
H2 storage,2040,1876.4066208049792,MWh,37528132.416099586
Grid link,2041,106.9030290670321,MW,42761211.62681284
H2 burner,2041,16.81820814121852,MW,504546.2442365556
H2 storage,2041,621.6314818911162,MWh,12432629.637822324
Electric heater,2042,10.452177398575516,MW,4180870.959430206
Electrolyser,2042,40.12359417907851,MW,28086515.925354958
H2 burner,2042,46.516481466563434,MW,1395494.443996903
H2 storage,2042,1719.8703976165402,MWh,34397407.952330805
