asset,year,capacity,unit,capex_aud
DRI shaft (MIDREX Flex),2030,1600000.0,t/yr,400000000.0
Electric heater,2030,167.03825912289136,MW,66815303.64915654
Electrolyser,2030,582.0283643506643,MW,838120844.6649567
Grid link,2030,677.8404042786455,MW,271136161.7114582
H2 storage,2030,1038.5763716696406,MWh,20771527.43339281
Solar,2030,973.7489051187846,MW,1071123795.6306629
Electric heater,2033,70.22204141178491,MW,28088816.564713966
Electrolyser,2033,72.71599039196349,MW,79987589.43115984
Grid link,2033,890.5252164921061,MW,356210086.59684247
H2 storage,2033,2679.3848871183413,MWh,53587697.74236683
Solar,2033,1158.002908308159,MW,1273803199.138975
Thermal buffer,2033,389.61566373912785,MWh,19480783.186956394
Electrolyser,2037,103.39409617340198,MW,87884981.74739167
Grid link,2037,901.895498729328,MW,360758199.49173117
H2 burner,2037,85.07694108509612,MW,2552308.2325528837
H2 storage,2037,996.8104810877094,MWh,19936209.621754188
Solar,2037,327.798030048345,MW,360577833.05317956
Thermal buffer,2037,7.6437229820842845,MWh,382186.1491042142
Wind,2037,635.1729755567225,MW,1397380546.2247894
Electrolyser,2040,15.295703982218242,MW,10706992.78755277
Grid link,2040,296.68384214428806,MW,118673536.85771522
H2 burner,2040,20.842289422681105,MW,625268.6826804332
H2 storage,2040,851.9011987047388,MWh,17038023.974094775
Thermal buffer,2040,4.454090257048506,MWh,222704.5128524253
