asset,year,capacity,unit,capex_aud
EAF + aux,2028,1600000.0,t/yr,480000000.0
DRI shaft (MIDREX Flex),2030,1600000.0,t/yr,400000000.0
Electrolyser,2030,58.488529870120445,MW,84223483.01297344
Grid link,2030,60.2685638967904,MW,24107425.55871616
Electrolyser,2033,80.39884045928089,MW,88438724.50520898
Grid link,2033,299.54896451116804,MW,119819585.80446722
Solar,2033,527.1229990113785,MW,579835298.9125164
Electric heater,2037,65.83618442024718,MW,26334473.768098872
Electrolyser,2037,297.2095099195755,MW,252628083.4316392
Grid link,2037,1202.828943183835,MW,481131577.273534
H2 storage,2037,81.41253440257222,MWh,1628250.6880514445
Solar,2037,1240.2928719834113,MW,1364322159.1817524
Wind,2037,151.72202297865795,MW,333788450.5530475
Electric heater,2040,86.82431248123058,MW,34729724.99249223
Electrolyser,2040,199.08017626770004,MW,139356123.38739002
Grid link,2040,116.2030691756902,MW,46481227.67027608
H2 burner,2040,10.67593793052081,MW,320278.1379156243
H2 storage,2040,2008.2292765435989,MWh,40164585.53087198
