year,scenario,isp_scenario,h2_fraction,total_gas_mwh,total_h2_mwh,scrap_t,scrap_share,electrolyser_mw,new_electrolyser_mw,h2_storage_mwh,new_h2_storage_mwh,electric_heater_mw,new_electric_heater_mw,h2_burner_mw,new_h2_burner_mw,wind_mw,new_wind_mw,wind_capex_per_kw,solar_mw,new_solar_mw,solar_capex_per_kw,battery_power_mw,new_battery_power_mw,battery_power_capex_per_kw,battery_energy_mwh,new_battery_energy_mwh,battery_energy_capex_per_kwh,grid_link_mw,new_grid_link_mw,grid_link_capex_per_mw,ely_wacc_new,emissions_saved_tCO2,emissions_tCO2,emissions_scope1_tCO2,emissions_scope2_tCO2,total_import_mwh,total_export_mwh_delivered,annual_system_cost,electrolyser_cf,electrolyser_realised_price,avg_wholesale_price_sa_n,flexibility_premium,eaf_total_mwh,eaf_realised_price,eaf_flexibility_premium,lcoh_per_kg,lcos_per_t_steel,lcoh_lp_per_kg,lcos_lp_per_t_steel,ely_tranche_annuity,h2_store_tranche_annuity,capex_per_kw,gas_price,carbon_price,discount_rate,subregion,solve_seconds
2030,No gas (100% H2),step_change,1.0,0.0,3004586.2740821224,18480.651732617378,0.011550407332885862,580.9553498703566,580.9553498703566,937.1747279034173,937.1747279034173,210.87997220685295,210.87997220685295,7.68475122614134e-06,7.68475122614134e-06,4.86477057755068e-06,4.86477057755068e-06,2200.0,1088.391747647115,1088.391747647115,1100.0,1.28001254597261e-06,1.28001254597261e-06,500.0,2.121830525035645e-06,2.121830525035645e-06,250.0,868.4624215422884,718.4624215422884,400000.0,0.13,802784.0896161855,93215.91038381442,0.0,93215.91038381442,4904020.197632066,415090.8812928137,784492335.3735864,0.8434120029825408,77.25447885829712,83.59621065454076,6.341731796243636,960000.0,75.71468330755376,7.881527346986999,5.420950162698274,424.93133638212515,5.41523958521981,424.52577780148386,119089720.75619942,2557098.6315983064,1440.0,12.0,63.0,0.13,CSA,479.8
2033,No gas (100% H2),step_change,1.0,0.0,2932078.2940222863,56646.56332198301,0.03540410207623938,669.3800152233399,88.42466535298331,4057.666357841905,3120.4916299384877,276.93610594849383,66.05613374164088,5.759394168640761e-06,5.759394168640761e-06,2.3690965451996727e-06,2.3690965451996727e-06,2200.0,2227.695983967051,1139.3042363199359,1100.0,8.45425351735523e-07,8.45425351735523e-07,500.0,1.4346097427465496e-06,1.4346097427465496e-06,250.0,1718.3656210102224,849.903199467934,400000.0,0.09,826039.6667605478,69960.33323945216,0.0,69960.33323945216,3721379.6555850143,2141821.00135563,1065831334.8292336,0.714332935826833,77.8662868812814,90.10740452816172,12.241117646880326,960000.0,78.57620890775323,11.531195620408496,5.410589173514531,452.0938700820408,4.964052219578676,421.0108433956605,129744992.1887212,8910809.683970788,1100.0,12.0,80.1,0.09,CSA,746.3
2037,No gas (100% H2),step_change,1.0,0.0,2896425.591707122,82273.40750759284,0.05142087969224553,767.5374900029303,98.15747477959042,4909.78358500542,852.117227163515,276.93610594861235,1.185185283247847e-10,100.07785234096318,100.07785234096318,695.8110810171581,695.8110810171581,2200.0,2486.918305540841,259.2223215737904,1100.0,1.0233468395617569e-06,1.0233468395617569e-06,500.0,1.8727295142342798e-06,1.8727295142342798e-06,250.0,2745.123527547671,1026.7579065374487,400000.0,0.09,971074.3362658406,-75074.33626584052,0.0,-75074.33626584052,3002236.268871637,4598968.061415085,1333505196.933945,0.615404450021223,71.23565434216665,88.48139329207856,17.24573894991191,960000.0,79.5177222561228,8.96367103595577,5.003268382855121,488.6788998783453,4.385905398099022,446.13833864373504,138884876.7428625,10645826.88196678,850.0,12.0,102.9,0.09,CSA,531.9
2040,No gas (100% H2),step_change,1.0,0.0,3057801.487971907,7829.925567057479,0.004893703479410924,790.7166087290515,23.179118726121146,6052.364481273791,1142.5808962683714,276.93610594852265,2.8819613362429664e-11,154.71394046624593,54.636088125282754,695.8110810171632,5.115907697472721e-12,2200.0,2486.9183055408525,1.1368683772161603e-11,1100.0,4.347964382636253e-07,4.347964382636253e-07,500.0,6.582564111986109e-07,6.582564111986109e-07,250.0,3085.893826523894,340.7702989762229,400000.0,0.09,893044.3002774125,2955.6997225874693,0.0,2955.6997225874693,10496817.585331127,9570468.271554783,972894984.6280006,0.6306469219493548,19.302537694670452,34.127536143398295,14.824998448727843,960000.0,27.526573935721785,6.60096220767651,5.306141611561115,537.1821424537214,4.606118502929153,486.7589849878782,140662310.26803315,12972264.421231423,700.0,12.0,120.0,0.09,CSA,650.0
2041,No gas (100% H2),step_change,1.0,0.0,3057651.2246406972,5573.3064185934145,0.003483316511620884,790.7166087290971,4.558842192636803e-11,7092.851761758773,1040.487280484982,276.93610594853146,3.7630343285854906e-11,154.7139404757457,9.499757425146527e-09,695.8110810171642,6.0254023992456496e-12,2200.0,2486.918305540855,1.3642420526593924e-11,1100.0,4.463684025609707e-07,4.463684025609707e-07,500.0,7.752489576297815e-07,7.752489576297815e-07,250.0,3315.664844593623,229.77101806972905,400000.0,0.09,884394.3614829611,11605.638517038951,0.0,11605.638517038951,12890998.555634487,11452528.367121564,990540225.7510824,0.6306159313478414,16.264459641562198,29.01167986099818,12.747220219435981,960000.0,24.155914650316436,4.855765210681742,5.313629355496184,546.6788765242253,4.613607650097262,496.2557190583843,140662310.26803315,15090826.596000254,700.0,22.0,120.0,0.09,CSA,367.7
2042,No gas (100% H2),step_change,1.0,0.0,3073093.77459703,3049.631929313672,0.001906019955821045,790.7166087290714,1.9895196601282805e-11,9928.332981813897,2835.481220055124,276.93610594851407,2.0236257114447653e-11,154.71394046766275,1.4168222151056398e-09,695.8110810171617,3.524291969370097e-12,2200.0,2486.9183055408494,8.185452315956354e-12,1100.0,2.8010879203541026e-07,2.8010879203541026e-07,500.0,4.809788498858787e-07,4.809788498858787e-07,250.0,3456.3907862320816,140.7259416384586,400000.0,0.09,886533.494607859,9466.505392141036,0.0,9466.505392141036,13173268.188700054,11670482.546831097,979360231.5492235,0.6338008328646276,14.01432744689549,29.820273406630324,15.805945959734835,960000.0,23.70803420279401,6.112239203836314,5.259448730984151,550.4955662926883,4.5622619033073715,500.072408826846,140662310.26803315,20864220.824593004,700.0,22.0,120.0,0.09,CSA,336.5
2028,Policy-stated + gas flat,step_change,0.0,0.0,0.0,1599999.9999999877,0.9999999999999923,-0.0,0.0,5.387371756246882e-05,5.387371756246882e-05,4.482764824927091e-06,4.482764824927091e-06,2.6912110188415195e-05,2.6912110188415195e-05,1.1875888439781292e-06,1.1875888439781292e-06,2200.0,1.690446434201404e-06,1.690446434201404e-06,1100.0,3.734331827390088e-06,3.734331827390088e-06,500.0,7.059743728467721e-06,7.059743728467721e-06,250.0,150.0000002999657,2.999657056079741e-07,400000.0,0.13,845594.4158107833,50405.58418921675,0.0,50405.58418921675,1045542.5452146172,63339.04842745562,1190207919.0058322,0.0,,50.527150373692066,,959999.9999999992,46.85335257617388,3.6737977975181835,,607.2397724638555,,607.239772532414,0.0,0.0,1800.0,12.0,51.6,0.13,CSA,15.6
2030,Policy-stated + gas flat,step_change,0.03665576232688052,4527935.386547439,172290.35776624756,1.8275919308868654e-05,1.142244956804291e-11,58.48853050809179,58.48853050809179,3.5953118041306385e-06,3.5953118041306385e-06,9.31584741401951e-08,9.31584741401951e-08,8.792299749850992e-07,8.792299749850992e-07,5.166464370566573e-08,5.166464370566573e-08,2200.0,1.2404468805952201e-07,1.2404468805952201e-07,1100.0,1.288266186295997e-07,1.288266186295997e-07,500.0,2.3148448855461974e-07,2.3148448855461974e-07,250.0,210.26856450695166,60.26856450695166,400000.0,0.13,39024.98066521133,856975.0193347887,845214.6054888552,11760.41384593347,1407665.4795595603,13115.425797667715,514213087.23707926,0.48038353818429186,10.688963992764092,59.91435530123101,49.22539130846692,960000.0,55.15658966633763,4.7577656348933814,4.452923976686701,203.70557993721724,4.452923976973535,203.70557994179256,11989532.013438668,0.0,1440.0,12.0,63.0,0.13,CSA,977.8
2033,Policy-stated + gas flat,step_change,0.06786389096086493,4305062.898499317,313428.8182705265,0.00013470311936996743,8.418944960622964e-11,138.88737195639348,80.39884144830168,2.6275842351288163e-05,2.6275842351288163e-05,6.274181753856767e-07,6.274181753856767e-07,6.288766850993274e-06,6.288766850993274e-06,4.95623913617135e-07,4.95623913617135e-07,2200.0,527.1232249483909,527.1232249483909,1100.0,1.0063714459296162e-06,1.0063714459296162e-06,500.0,1.750554223316226e-06,1.750554223316226e-06,250.0,509.81775351413165,299.54918900717996,400000.0,0.13,80567.12551006442,815432.8744899356,803611.7410532057,11821.133436729871,786894.4034372364,426017.85962661036,803892297.5923824,0.36802220142916225,14.35795948875073,77.72077334230835,63.36281385355762,960000.0,69.45257194959673,8.268201392711617,7.499353350880302,227.80847771856443,7.404714671812349,226.0391891736305,24579119.646586716,0.0,1100.0,12.0,80.1,0.13,CSA,739.7
2037,Policy-stated + gas flat,step_change,0.183879730873979,3540377.6223767917,797681.0637138796,0.0005694816788084872,3.559260492553045e-10,405.2911868055708,266.40381484917737,72.3631327854261,72.3631327854261,87.21257567896886,87.21257567896886,3.4174426302753e-05,3.4174426302753e-05,135.11443567363887,135.11443567363887,2200.0,1759.1987384130562,1232.0755134646652,1100.0,4.3467137829361404e-06,4.3467137829361404e-06,500.0,7.71922438758127e-06,7.71922438758127e-06,250.0,1701.6809580153024,1191.863204501171,400000.0,0.09,311792.4716930883,584207.5283069117,660870.4895103343,-76662.96120342263,800377.9826666156,3009115.909701708,1020265124.8150822,0.32096669937072175,18.728483092314423,86.89858407104394,68.17010097872952,960000.0,76.51816190906621,10.380422161977734,5.437641730962233,255.0975601034242,5.1786920986067395,247.81837827295297,49385178.665238194,147340.38449323532,850.0,12.0,102.9,0.09,CSA,953.0
