asset,year,capacity,unit,capex_aud
Biomass gasification,2029,13.840885187608082,t_dry/hr,181869231.3651702
CO₂ storage,2029,17758.027124602868,t,2663704.0686904304
Electrolyser,2029,916.0997228620372,MW,1465759556.5792594
HEFA (halophyte),2029,0.6849315177758645,t_oil/hr,21000000.335008007
H₂ storage,2029,1998.9383235305008,MWh,39978766.470610015
MeOH storage,2029,212043.16352488773,MWh,5753935.090625094
MeOH synthesis,2029,516.5516686874321,MW_H₂,480740023.1048814
Pyrolysis (mallee+SB),2029,121.433087400931,t_dry/hr,2127507691.2643113
Refinery: wax,2029,293.49993882137,MW_MeOH,4000000.0506416196
Shared HCR: diesel,2029,23.8250000283872,t/hr,31306050.037300784
Shared HCR: kero,2029,10.27397264182308,t/hr,13500000.051355528
Shared HCR: naphtha,2029,5.948972638507361,t/hr,7816950.046998672
Solar PV,2029,640.4852360077311,MW,704533759.6085043
Wind,2029,1073.5283297513834,MW,2361762325.4530435
Electric heater,2030,2.6595829318016304,MW_th,1063833.172720652
Electrolyser,2030,627.2440641891169,MW,940866096.2836754
HEFA (halophyte),2030,2.2831050151197725,t_oil/hr,69999999.76357222
H₂ storage,2030,1376.1940483882977,MWh,27523880.967765953
MeOH storage,2030,34375.5620535324,MWh,932804.1964275123
MeOH synthesis,2030,366.7537943567173,MW_H₂,341327379.73892635
Pyrolysis (mallee+SB),2030,13.840885170236518,t_dry/hr,242492308.1825438
Refinery: kero (SAF),2030,107.94275337275933,MW_MeOH,8274999.958734999
Refinery: wax,2030,146.74997414350418,MW_MeOH,2000000.0898226185
Shared HCR: diesel,2030,3.1841324888233586,t/hr,4183950.0903138933
Shared HCR: kero,2030,5.136986369869835,t/hr,6750000.090008963
Shared HCR: naphtha,2030,0.7717751807976523,t/hr,1014112.5875681151
Solar PV,2030,491.70461451050255,MW,540875075.9615527
Wind,2030,841.3702209083435,MW,1851014485.9983559
CO₂ storage,2032,27993.974333604558,t,4199096.150040683
Electric heater,2032,10.93313019782742,MW_th,4373252.079130968
Electrolyser,2032,2019.2262366796351,MW,2423071484.015562
H₂ storage,2032,6093.692299258322,MWh,121873845.98516645
MeOH storage,2032,277143.9314207691,MWh,7520488.591317352
MeOH synthesis,2032,1329.2754827407684,MW_H₂,1237119082.2195044
Refinery: kero (SAF),2032,261.3739234954864,MW_MeOH,20037187.662524283
Refinery: naphtha,2032,157.76844544874228,MW_MeOH,4031562.5297840964
Refinery: wax,2032,293.49993725016043,MW_MeOH,4000000.029228197
Shared HCR: kero,2032,10.273972624681734,t/hr,13500000.0288318
Shared HCR: naphtha,2032,1.8408961454770045,t/hr,2418937.535156784
Solar PV,2032,1236.043912065985,MW,1359648303.2725835
Wind,2032,2312.383495597794,MW,5087243690.315147
CO₂ storage,2035,13266.582976399113,t,1989987.446459867
Electric heater,2035,22.445041435047997,MW_th,8978016.5740192
Electrolyser,2035,2961.4832669295956,MW,2665334940.236636
