asset,year,capacity,unit,capex_aud
Biomass gasification,2029,135.2739725977396,t_dry/hr,1777499999.9342985
CO₂ storage,2029,12688.853390064638,t,1903328.0085096958
Electric heater,2029,160.05272343207469,MW_th,64021089.37282988
Electrolyser,2029,5304.107973468718,MW,10343010548.264
H₂ storage,2029,6298.350694653276,MWh,125967013.89306553
MeOH storage,2029,1148640.7801739352,MWh,31169146.7986897
MeOH synthesis,2029,4041.271677022699,MW_H₂,3761097208.96206
Refinery (FT+upgrading),2029,2494.749448836604,MW_MeOH,437750000.0771179
Shared HCR: diesel,2029,67.92237449100328,t/hr,89250000.08117831
Shared HCR: kero,2029,87.32876719099252,t/hr,114750000.08896418
Shared HCR: naphtha,2029,29.109589099824134,t/hr,38250000.07716891
Solar PV,2029,3545.248538722913,MW,3899773392.5952044
Wind,2029,6591.9328503305605,MW,14502252270.727234
Electric heater,2030,80.02636166826866,MW_th,32010544.667307466
Electrolyser,2030,2710.702666083137,MW,4879264798.949647
H₂ storage,2030,2779.3172757957873,MWh,55586345.515915744
MeOH storage,2030,139425.27396929893,MWh,3783399.3941417797
MeOH synthesis,2030,1852.448418034015,MW_H₂,1724021330.8170478
Refinery (FT+upgrading),2030,1247.3747243066846,MW_MeOH,218875000.01897362
Shared HCR: diesel,2030,33.9611872288785,t/hr,44625000.01874635
Shared HCR: kero,2030,43.66438357569166,t/hr,57375000.018458836
Shared HCR: naphtha,2030,14.554794534749917,t/hr,19125000.01866139
Solar PV,2030,1973.139098018511,MW,2170453007.820362
Wind,2030,4068.4477112426703,MW,8950584964.733875
Electric heater,2032,160.05272422580296,MW_th,64021089.690321185
Electrolyser,2032,6496.059896891145,MW,10718498829.87039
H₂ storage,2032,16607.778778928114,MWh,332155575.57856226
MeOH storage,2032,1158854.817212327,MWh,31446311.62284706
MeOH synthesis,2032,4361.897541952517,MW_H₂,4059494629.8939285
Refinery (FT+upgrading),2032,2494.749450855065,MW_MeOH,437750000.43129426
Shared HCR: diesel,2032,67.92237477062716,t/hr,89250000.44860409
Shared HCR: kero,2032,87.32876749029029,t/hr,114750000.48224145
Shared HCR: naphtha,2032,29.109589367985606,t/hr,38250000.42953309
Solar PV,2032,3719.0295822301914,MW,4090932540.4532104
Wind,2032,7596.483509808357,MW,16712263721.578386
Electric heater,2035,240.079085384797,MW_th,96031634.1539188
Electrolyser,2035,6069.606514945137,MW,8497449120.923191
MeOH synthesis,2035,4279.632644380637,MW_H₂,3982933017.267803
Refinery (FT+upgrading),2035,3742.124172853475,MW_MeOH,656625000.0452385
Shared HCR: diesel,2035,101.88356179846016,t/hr,133875000.20317665
Shared HCR: kero,2035,130.99315087467153,t/hr,172125000.2493184
Shared HCR: naphtha,2035,43.66438371550046,t/hr,57375000.20216761
Wind,2035,6016.490202961635,MW,13236278446.515598
Electric heater,2038,160.05272651866017,MW_th,64021090.60746407
Electrolyser,2038,9113.24298797801,MW,11391553734.972513
H₂ storage,2038,10667.013849607072,MWh,213340276.99214146
MeOH storage,2038,4726373.376902852,MWh,128253347.9159568
MeOH synthesis,2038,6197.631059947453,MW_H₂,5767959876.164002
Refinery (FT+upgrading),2038,2494.7494587721612,MW_MeOH,437750001.8204954
Shared HCR: diesel,2038,67.92237485608081,t/hr,89250000.56089017
Shared HCR: kero,2038,87.32876848300577,t/hr,114750001.7866696
Shared HCR: naphtha,2038,29.10959017241889,t/hr,38250001.48655842
Solar PV,2038,5046.867762370959,MW,5551554538.608054
Wind,2038,11980.137705379002,MW,26356302951.833805
Electric heater,2040,160.05272652491453,MW_th,64021090.609965816
Electrolyser,2040,4792.692411459262,MW,5751230893.751115
H₂ storage,2040,12599.559420625003,MWh,251991188.41250005
MeOH synthesis,2040,3142.4637744988613,MW_H₂,2924602124.309412
Refinery (FT+upgrading),2040,2494.7494551187683,MW_MeOH,437750001.17944
Shared HCR: diesel,2040,67.92237626169043,t/hr,89250002.40786122
Shared HCR: kero,2040,87.32876816987135,t/hr,114750001.37521096
Shared HCR: naphtha,2040,29.10959006260066,t/hr,38250001.34225727
Solar PV,2040,4016.281832819659,MW,4417910016.1016245
Wind,2040,4848.896101540413,MW,10667571423.388908
