asset,year,capacity,unit,capex_aud
Biomass gasification,2029,135.2739725979674,t_dry/hr,1777499999.9372914
CO₂ storage,2029,13134.822795180122,t,1970223.4192770182
Electric heater,2029,160.05272346397115,MW_th,64021089.38558846
Electrolyser,2029,5614.0504425290865,MW,9094761716.897121
H₂ storage,2029,7711.822341873147,MWh,154236446.83746293
MeOH storage,2029,1475993.4334075174,MWh,40052083.11759093
MeOH synthesis,2029,4230.030664299399,MW_H₂,3936769857.809051
Refinery (FT+upgrading),2029,2494.749448943884,MW_MeOH,437750000.0959422
Shared HCR: diesel,2029,67.92237450733697,t/hr,89250000.10264076
Shared HCR: kero,2029,87.32876721093245,t/hr,114750000.11516525
Shared HCR: naphtha,2029,29.109589114378384,t/hr,38250000.096293196
Solar PV,2029,3983.81369708487,MW,4382195066.793357
Wind,2029,6826.461480297517,MW,15018215256.654537
Electric heater,2030,80.02636364142182,MW_th,32010545.45656873
Electrolyser,2030,2990.9694457605738,MW,4306996001.8952265
H₂ storage,2030,4913.543162670308,MWh,98270863.25340617
MeOH storage,2030,77494.93019606383,MWh,2102877.5028077625
MeOH synthesis,2030,2015.8500741275948,MW_H₂,1876094628.974055
Refinery (FT+upgrading),2030,1247.3747292486655,MW_MeOH,218875000.8861357
Shared HCR: diesel,2030,33.96118790976374,t/hr,44625000.91342955
Shared HCR: kero,2030,43.66438429672928,t/hr,57375000.96590228
Shared HCR: naphtha,2030,14.554795192618077,t/hr,19125000.883100152
Solar PV,2030,2314.181108391712,MW,2545599219.2308826
Wind,2030,4171.756888362704,MW,9177865154.397947
Electric heater,2032,160.05272409672008,MW_th,64021089.638688035
Electrolyser,2032,6932.19978649853,MW,8387961741.663221
HEFA (halophyte),2032,0.684931026678667,t_oil/hr,20999985.27796793
H₂ storage,2032,20657.66345595896,MWh,413153269.1191792
MeOH storage,2032,893233.005673605,MWh,24238483.571042545
MeOH synthesis,2032,4580.20791778759,MW_H₂,4262669919.966401
Refinery (FT+upgrading),2032,2494.749450808806,MW_MeOH,437750000.4231773
Shared HCR: diesel,2032,68.06792258747024,t/hr,89441250.27993588
Shared HCR: kero,2032,87.73630139195899,t/hr,115285500.02903411
Shared HCR: naphtha,2032,29.138698924968573,t/hr,38288250.3874087
Solar PV,2032,4291.86399278459,MW,4721050392.063048
Wind,2032,7884.35140062091,MW,17345573081.366
Electric heater,2035,240.07908574426045,MW_th,96031634.29770418
Electrolyser,2035,6491.716088969293,MW,6329423186.745061
MeOH storage,2035,568047.0271992944,MWh,15414341.441588895
MeOH synthesis,2035,4453.129736117866,MW_H₂,4144401851.7453375
Refinery (FT+upgrading),2035,3742.1241745031502,MW_MeOH,656625000.3347045
Shared HCR: diesel,2035,101.88356190194713,t/hr,133875000.33915854
Shared HCR: kero,2035,130.99315106705708,t/hr,172125000.502113
Shared HCR: naphtha,2035,43.66438364973719,t/hr,57375000.11575467
Wind,2035,6038.996478287387,MW,13285792252.23225
Electric heater,2038,160.05272441685645,MW_th,64021089.76674258
Electrolyser,2038,9974.778056150339,MW,7979822444.920271
H₂ storage,2038,16125.992676027141,MWh,322519853.5205428
MeOH storage,2038,5735316.856320396,MWh,155631713.68909618
MeOH synthesis,2038,6793.938849696047,MW_H₂,6322926664.578009
Refinery (FT+upgrading),2038,2494.7494530083186,MW_MeOH,437750000.80912256
Shared HCR: diesel,2038,67.92237494532418,t/hr,89250000.67815597
Shared HCR: kero,2038,87.32876812614882,t/hr,114750001.31775954
Shared HCR: naphtha,2038,29.109589767543667,t/hr,38250000.95455238
Solar PV,2038,7465.121894678485,MW,8211634084.146333
Wind,2038,12391.85030557117,MW,27262070672.256573
Electric heater,2040,160.05272569487806,MW_th,64021090.277951226
Electrolyser,2040,7508.728344736763,MW,5256109841.315734
H₂ storage,2040,47892.02379953234,MWh,957840475.9906468
MeOH synthesis,2040,4452.413908002523,MW_H₂,4143735650.771515
Refinery (FT+upgrading),2040,2494.749453556644,MW_MeOH,437750000.9053364
Shared HCR: diesel,2040,67.922375179639,t/hr,89250000.98604566
Shared HCR: kero,2040,87.32876716837353,t/hr,114750000.05924281
Shared HCR: naphtha,2040,29.10959007865833,t/hr,38250001.363357045
Solar PV,2040,6412.6381152738395,MW,7053901926.801224
Wind,2040,4857.435212910685,MW,10686357468.403507
