asset,year,capacity,unit,capex_aud
Biomass gasification,2029,135.2739725979674,t_dry/hr,1777499999.9372914
CO₂ storage,2029,13134.822795180122,t,1970223.4192770182
Electric heater,2029,160.05272346397115,MW_th,64021089.38558846
Electrolyser,2029,5614.0504425290865,MW,9094761716.897121
H₂ storage,2029,7711.822341873147,MWh,154236446.83746293
MeOH storage,2029,1475993.4334075174,MWh,40052083.11759093
MeOH synthesis,2029,4230.030664299399,MW_H₂,3936769857.809051
Refinery (FT+upgrading),2029,2494.749448943884,MW_MeOH,437750000.0959422
Shared HCR: diesel,2029,67.92237450733697,t/hr,89250000.10264076
Shared HCR: kero,2029,87.32876721093245,t/hr,114750000.11516525
Shared HCR: naphtha,2029,29.109589114378384,t/hr,38250000.096293196
Solar PV,2029,3983.81369708487,MW,4382195066.793357
Wind,2029,6826.461480297517,MW,15018215256.654537
Electric heater,2030,80.02636364142182,MW_th,32010545.45656873
Electrolyser,2030,2990.9694457605738,MW,4306996001.8952265
H₂ storage,2030,4913.543162670308,MWh,98270863.25340617
MeOH storage,2030,77494.93019606383,MWh,2102877.5028077625
MeOH synthesis,2030,2015.8500741275948,MW_H₂,1876094628.974055
Refinery (FT+upgrading),2030,1247.3747292486655,MW_MeOH,218875000.8861357
Shared HCR: diesel,2030,33.96118790976374,t/hr,44625000.91342955
Shared HCR: kero,2030,43.66438429672928,t/hr,57375000.96590228
Shared HCR: naphtha,2030,14.554795192618077,t/hr,19125000.883100152
Solar PV,2030,2314.181108391712,MW,2545599219.2308826
Wind,2030,4171.756888362704,MW,9177865154.397947
Electric heater,2032,160.05272376264648,MW_th,64021089.50505859
Electrolyser,2032,6930.327048094005,MW,8385695728.193746
H₂ storage,2032,20649.218310373915,MWh,412984366.2074783
MeOH storage,2032,893065.7137856949,MWh,24233943.992174637
MeOH synthesis,2032,4580.025992393909,MW_H₂,4262500607.149769
Refinery (FT+upgrading),2032,2494.7494499044737,MW_MeOH,437750000.26449555
Shared HCR: diesel,2032,67.92237465925595,t/hr,89250000.30226232
Shared HCR: kero,2032,87.32876736158966,t/hr,114750000.3131288
Shared HCR: naphtha,2032,29.10958924656483,t/hr,38250000.26998619
Solar PV,2032,4290.647718126748,MW,4719712489.939424
Wind,2032,7882.1826855116615,MW,17340801908.125652
Electric heater,2035,240.07908549974843,MW_th,96031634.19989938
Electrolyser,2035,6491.871346052712,MW,6329574562.401394
MeOH storage,2035,568026.8954983838,MWh,15413795.1542275
MeOH synthesis,2035,4453.206490718876,MW_H₂,4144473285.0808578
Refinery (FT+upgrading),2035,3742.1241739172083,MW_MeOH,656625000.2318901
Shared HCR: diesel,2035,101.8835618310257,t/hr,133875000.24596778
Shared HCR: kero,2035,130.9931509670811,t/hr,172125000.37074456
Shared HCR: naphtha,2035,43.664383740695584,t/hr,57375000.235273995
Wind,2035,6039.321951694637,MW,13286508293.728203
Electric heater,2038,160.05272569958686,MW_th,64021090.27983475
Electrolyser,2038,9974.625976275827,MW,7979700781.020661
H₂ storage,2038,16118.833940238932,MWh,322376678.80477864
MeOH storage,2038,5735232.798953582,MWh,155629432.73542383
MeOH synthesis,2038,6793.980351991568,MW_H₂,6322965289.590213
Refinery (FT+upgrading),2038,2494.7494550761803,MW_MeOH,437750001.1719672
Shared HCR: diesel,2038,67.92237541190917,t/hr,89250001.29124865
Shared HCR: kero,2038,87.3287681455252,t/hr,114750001.34322011
Shared HCR: naphtha,2038,29.10958988756552,t/hr,38250001.112261094
Solar PV,2038,7465.33464980403,MW,8211868114.784433
Wind,2038,12391.61968983759,MW,27261563317.642696
Electric heater,2040,160.05272987198407,MW_th,64021091.94879363
Electrolyser,2040,7508.267141228454,MW,5255786998.859918
H₂ storage,2040,47866.15831614085,MWh,957323166.322817
MeOH synthesis,2040,4452.509664813922,MW_H₂,4143824768.92661
Refinery (FT+upgrading),2040,2494.7495703104796,MW_MeOH,437750021.39195937
Shared HCR: diesel,2040,67.92237663424237,t/hr,89250002.89739448
Shared HCR: kero,2040,87.32876900987458,t/hr,114750002.47897519
Shared HCR: naphtha,2040,29.109590569685594,t/hr,38250002.00856687
Solar PV,2040,6411.819630498656,MW,7053001593.548521
Wind,2040,4858.144307168644,MW,10687917475.771017
