year,scenario,biofuels_enabled,capex_per_kw,wacc,diesel_price_per_t,kero_price_per_t,naphtha_price_per_t,wax_price_per_t,imo_premium,electrolyser_mw,new_electrolyser_mw,cumulative_ely_mw,electrolyser_cf,wind_mw,solar_mw,battery_charge_mw,battery_store_mwh,grid_import_twh_y,synth_mw,h2_store_mwh,meoh_store_mwh,co2_store_t,meoh_tonnes,co2_tonnes,co2_blended_price,co2_by_source,naphtha_tonnes,kero_tonnes,diesel_tonnes,wax_tonnes,lcom,lcof,lcom_lp,lcof_lp,ely_tranche_annuity,annual_capex_process,annual_power_cost,annual_co2_cost,mandated_fuel_mt,fossil_market_revenue_aud,cost_to_produce_aud,annual_subsidy_aud,subsidy_per_t_mandated_aud,subsidy_per_taxpayer_aud,electric_heater_mw_th,h2_burner_mw_th,cst_mw_th,cst_turbine_mw_el,refinery_mw,shared_hcr_naphtha_t_per_hr,shared_hcr_kero_t_per_hr,shared_hcr_diesel_t_per_hr,solve_seconds,htl_steelworks_cap_t_dry_per_hr,htl_steelworks_t_dry_per_yr,htl_steelworks_fuel_diesel_t_per_yr,htl_steelworks_fuel_kero_t_per_yr,htl_steelworks_fuel_naphtha_t_per_yr,htl_port_bonython_cap_t_dry_per_hr,htl_port_bonython_t_dry_per_yr,htl_port_bonython_fuel_diesel_t_per_yr,htl_port_bonython_fuel_kero_t_per_yr,htl_port_bonython_fuel_naphtha_t_per_yr,htl_t_dry_per_yr,htl_fuel_diesel_t_per_yr,htl_fuel_kero_t_per_yr,htl_fuel_naphtha_t_per_yr,hefa_cap_t_oil_per_hr,hefa_t_oil_per_yr,hefa_fuel_kero_t_per_yr,hefa_fuel_diesel_t_per_yr,hefa_fuel_naphtha_t_per_yr,pyrolysis_cap_t_dry_per_hr,pyrolysis_t_dry_per_yr,pyrolysis_fuel_diesel_t_per_yr,pyrolysis_fuel_kero_t_per_yr,pyrolysis_fuel_naphtha_t_per_yr,gasification_cap_t_dry_per_hr,gasification_t_dry_per_yr,gasification_biogenic_h2_mwh_per_yr,gasification_biogenic_co2_t_per_yr,waste_heat_used_mwh_per_yr,lignocellulose_dispatched_t_per_yr,halophyte_oil_dispatched_t_per_yr,algae_steelworks_dispatched_t_per_yr,algae_port_bonython_dispatched_t_per_yr,tranche_mallee_tier1_t_per_yr,tranche_mallee_tier2_t_per_yr,tranche_mallee_tier3_t_per_yr,tranche_saltbush_tier1_t_per_yr,tranche_saltbush_tier2_t_per_yr,tranche_halophyte_tier1_t_per_yr,tranche_halophyte_tier2_t_per_yr,tranche_algae_steelworks_tier1_t_per_yr,tranche_algae_port_bonython_tier1_t_per_yr,tranche_algae_port_bonython_tier2_t_per_yr
2027,foak_stranded,True,2300.0,0.13,2400,2550,1600,2500,False,-0.0,0.0,0.0,0.0,1.955815462033177e-15,1.7349330315023243e-15,3.7048960302947695e-15,3.5438340919664325e-15,1.7886841003848054e-17,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,"{""co2_nyrstar"": 0.0, ""co2_dac"": 0.0}",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,foak_stranded,True,2100.0,0.13,2300,2450,1530,2500,False,-0.0,0.0,0.0,0.0,5.729934634500302e-15,5.059164026399308e-15,1.116952537702358e-14,1.1274458102658132e-14,3.7008388025270815e-17,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,"{""co2_nyrstar"": 0.0, ""co2_dac"": 0.0}",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,foak_stranded,True,1950.0,0.13,2200,2350,1470,2500,False,5304.107973468718,5304.107973468718,5304.107973468718,0.818144485723773,6591.9328503305605,3545.248538722913,3.5885556777293174e-07,6.136595439813284e-07,11.763461109907245,4041.271677022699,6298.350694653276,1148640.7801739352,12688.853390064638,3953488.3721028003,3895546.5117677776,371.7595077369454,"{""co2_nyrstar"": 399999.9999752896, ""co2_adbri_cement"": 999999.9999733849, ""co2_dac"": 2495546.5118191033}",255000.00000756036,765000.0000861947,595000.0000352145,85000.0000002102,1554.6819546724962,3793.257094737304,1554.6819546724962,3793.257094737304,1472366735.4389913,2012338149.9533792,2685872426.5812235,1448206453.581164,1.7,3694100000.2916684,6481683747.373588,2787583747.081919,1639.7551453423055,242.3985867027756,160.05272343207469,3.1729936385625217e-06,3.618144101682192e-08,8.219975011032284e-08,2494.749448836604,29.109589099824134,87.32876719099252,67.92237449100328,29.9,1.6847994314809348e-10,7.175797028591732e-07,1.3562256384038374e-07,6.781128192019187e-08,2.2603760640063955e-08,2.4569986161414953e-10,1.3849956668579226e-06,2.6176418103614735e-07,1.3088209051807368e-07,4.3627363506024554e-08,2.102575369717096e-06,3.9738674487653106e-07,1.9869337243826553e-07,6.62311241460885e-08,1.8433910829283444e-08,0.00013862966870422267,8.248465287901247e-05,2.9458804599647316e-05,5.891760919929463e-06,6.798758936207017e-09,1.9933115596819535e-05,3.886957541379809e-06,1.619565642241587e-06,9.717393853449522e-07,135.2739725977396,1184999.999902749,3159968.399740667,1540499.9998735737,9.96638476193296e-07,1184999.999922682,0.00013862966870422264,7.175797028591732e-07,1.3849956668579229e-06,119999.99998580723,239999.9999847387,599999.9999829296,74999.99998518958,149999.99998401693,0.00012337589841910105,1.5253770285121594e-05,7.175797028591732e-07,7.017345156184276e-07,6.832611512394952e-07
2030,foak_stranded,True,1800.0,0.13,2100,2250,1400,2500,False,8014.810639551855,2710.702666083137,8014.810639551855,0.8443059321837589,10660.38056157323,5518.387636741424,3.8794735965714545e-07,9.816430829279835e-07,17.75874608256392,5893.720095056714,9077.667970449065,1288066.0541432342,12688.85339053451,5930232.558152164,6613569.76758341,383.2400614043262,"{""co2_steelworks"": 559999.9999692411, ""co2_nyrstar"": 399999.9999681018, ""co2_adbri_cement"": 999999.9999655499, ""co2_dac"": 4653569.767680517}",382500.00000119413,1147500.0000848486,892500.000034869,127500.00000027154,1658.948784978567,3987.192781545311,1639.8502119397308,3943.0046307649736,2166948564.380244,2839805396.585771,4350302836.921487,2534584883.8304615,2.55,5310375000.266485,10219603629.650808,4909228629.384323,1925.1876977977738,426.8894460334194,240.07908510034338,8.652880792694244e-06,4.5021475090320744e-08,1.0649327273776029e-07,3742.1241731432888,43.66438363457405,130.99315076668418,101.88356171988178,27.2,2.326898976497563e-10,8.93892430163343e-07,1.6894566930087182e-07,8.447283465043591e-08,2.815761155014531e-08,2.4569986161414953e-10,1.7249570935443278e-06,3.2601689067987793e-07,1.6300844533993896e-07,5.433614844664633e-08,2.618849523707671e-06,4.949625599807497e-07,2.474812799903749e-07,8.249375999679164e-08,1.8711413450528176e-08,0.00013550379714767177,8.06247593028647e-05,2.8794556893880246e-05,5.758911378776051e-06,7.787659162490604e-09,1.8865321752012708e-05,3.6787377416424783e-06,1.5328073923510326e-06,9.196844354106196e-07,135.2739725977396,1184999.9999044735,3159968.399745266,1540499.9998758158,1.2415172641157543e-06,1184999.9999233389,0.00013550379714767177,8.93892430163343e-07,1.724957093544328e-06,119999.99998568567,239999.99998482066,599999.9999834063,74999.99998517946,149999.9999842469,0.00011730536731686895,1.819842983080282e-05,8.93892430163343e-07,8.739926334463078e-07,8.509644600980202e-07
2032,foak_stranded,True,1650.0,0.13,2125,2280,1420,2500,False,14510.870536443,6496.059896891145,14510.870536443,0.8009032329348222,18256.864071381588,9237.417218971616,2.1292105037361758e-06,5.337983904850883e-06,28.31888466844342,10255.61763700923,25685.446749377174,2446920.871355561,12688.854263195017,9883720.93031174,12049616.279941365,347.3079332180147,"{""co2_steelworks"": 519999.99980884907, ""co2_nyrstar"": 399999.999800854, ""co2_santos_moomba"": 1699999.9997918208, ""co2_adbri_cement"": 999999.9997822767, ""co2_doc_spencer_gulf"": 0.0, ""co2_dac"": 8429616.280757565}",637500.0000432194,1912500.0004712264,1487500.0001970357,212500.00000170246,1660.212333973647,3952.272007985665,1631.4377681616422,3885.6966230074995,3692767479.2214103,4796758304.187937,7142989985.235779,4184927326.256578,4.25,8957937501.558725,16883496558.440891,7925559056.882166,1864.8374251487448,689.1790484245362,400.1318093261463,1.7013271500543562e-05,2.4450578142491673e-07,6.868278044264987e-07,6236.873623998354,72.77397300255966,218.32191825697447,169.80593649050894,25.3,1.158967382292869e-09,4.89837134795402e-06,9.257921847633095e-07,4.6289609238165474e-07,1.542986974605516e-07,1.677866082660883e-09,9.458524706910514e-06,1.7876611696060876e-06,8.938305848030438e-07,2.979435282676812e-07,1.4356896054864534e-05,2.713453354369397e-06,1.3567266771846985e-06,4.522422257282328e-07,1.0310574650619203e-07,0.0007474367819123739,0.0004447248852378624,0.00015883031615637945,3.176606323127589e-05,4.480880458552418e-08,0.00012089801411996555,2.3575112753393286e-05,9.8229636472472e-06,5.893778188348321e-06,135.2739725977396,1184999.9994132922,3159968.3984354613,1540499.9992372799,6.803293538825027e-06,1184999.99953419,0.0007474367819123738,4.89837134795402e-06,9.458524706910516e-06,119999.99991382379,239999.99990786682,599999.9998979599,74999.99991054417,149999.9999039954,0.0006438182743652708,0.00010361850754710297,4.89837134795402e-06,4.79200534211866e-06,4.666519364791855e-06
2035,foak_stranded,True,1400.0,0.13,2150,2310,1440,2500,False,20580.477051388138,6069.606514945137,20580.477051388138,0.9185442841075976,24273.354274343226,9237.41721898294,2.9269849745125625e-06,6.771253072993313e-06,73.63967403925729,14535.250281389868,25685.44674947201,2446920.8713756623,12688.854266771601,15813953.4885008,20203686.047883302,339.08042341412505,"{""co2_steelworks"": 439999.99969437596, ""co2_nyrstar"": 399999.9996793454, ""co2_santos_moomba"": 1699999.9996627597, ""co2_adbri_cement"": 999999.9996443647, ""co2_doc_spencer_gulf"": 1999999.999022002, ""co2_dac"": 14663686.050180456}",1020000.0000733533,3060000.000814253,2380000.00033597,340000.00000276725,1610.2956754155066,3815.493023295202,1559.6556423856957,3698.3277560153633,4902411553.676362,6047028828.495187,11766618538.627722,6850674419.642321,6.8,14504400002.715807,26078716524.85742,11574316522.141615,1702.1053709031787,1006.4623062731839,640.2108947109433,2.311816804683716e-05,3.350716430864421e-07,7.834429852940956e-07,9978.997796851829,116.43835671806013,349.315069131646,271.6894982889691,22.6,1.7314516215208748e-09,6.766926409111347e-06,1.2789490913220445e-06,6.394745456610223e-07,2.1315818188700743e-07,2.3306241988827396e-09,1.3067916270930986e-05,2.469836175205956e-06,1.234918087602978e-06,4.1163936253432597e-07,1.9834842680042333e-05,3.7487852665280007e-06,1.8743926332640003e-06,6.247975444213334e-07,1.7251148879228354e-07,0.0012974788171575186,0.0007719998962087235,0.00027571424864597266,5.514284972919454e-05,6.360956613387082e-08,0.00019044335177527215,3.7136453596178066e-05,1.547352233174086e-05,9.284113399044516e-06,135.2739725977396,1184999.9990809998,3159968.3975493573,1540499.9988052999,9.398508901543538e-06,1184999.9992714429,0.0012974788171575186,6.766926409111347e-06,1.3067916270930984e-05,119999.99986607383,239999.9998561511,599999.999839473,74999.99986029316,149999.9998494519,0.0011545219574616973,0.00014295685969582122,6.766926409111347e-06,6.621248468473096e-06,6.4466678024578886e-06
2038,foak_stranded,True,1250.0,0.13,2150,2310,1440,2500,False,29693.720039366148,9113.24298797801,29693.720039366148,0.8001331759673713,36253.491979722225,14284.284981353901,9.044396217249025e-06,2.2118827782104937e-05,61.75583201660074,20732.88134133732,36352.46059907908,7173294.2482785145,12688.856281998631,19767441.86092299,25639732.56316366,309.8825769356328,"{""co2_steelworks"": 346666.6655521478, ""co2_nyrstar"": 399999.9988196402, ""co2_santos_moomba"": 1699999.9987433902, ""co2_adbri_cement"": 999999.998660323, ""co2_doc_spencer_gulf"": 1999999.9969859538, ""co2_dac"": 20193065.904402208}",1275000.0002202047,3825000.002301499,2975000.000988901,425000.00000984437,1582.5027581861805,3744.0930734410717,1519.759411467548,3598.9245072518524,6524042384.088159,8064900257.132564,14031549153.029116,7945306398.613612,8.5,18130500007.784306,31988376512.430252,13857876504.645947,1630.3384123112878,1205.0327395344302,800.2636212296035,7.423953610248428e-05,1.051493979603625e-06,2.489960011920923e-06,12473.74725562399,145.547946890479,436.6438376146518,339.6118731450499,25.1,4.9290123121556065e-09,2.086595428955751e-05,3.9436653607263695e-06,1.9718326803631847e-06,6.572775601210615e-07,7.151110158601772e-09,4.031215787656292e-05,7.618997838670394e-06,3.809498919335197e-06,1.2698329731117323e-06,6.117811216612043e-05,1.1562663199396762e-05,5.781331599698381e-06,1.927110533232794e-06,4.879648887773482e-07,0.0036105771883441894,0.0021482934270647927,0.0007672476525231403,0.00015344953050462805,2.2229019000595556e-07,0.0007240049785565631,0.00014118097081852984,5.882540450772076e-05,3.529524270463246e-05,135.2739725977396,1184999.996619575,3159968.390985624,1540499.9956054476,2.898049206882987e-05,1184999.9973435802,0.0036105771883441894,2.086595428955751e-05,4.031215787656293e-05,119999.99952567808,239999.999479037,599999.9993915049,74999.9995006479,149999.99944671226,0.0031658262255382535,0.00044475096280593616,2.086595428955751e-05,2.0423180816450013e-05,1.9888977060112914e-05
2040,foak_stranded,True,1200.0,0.13,2150,2310,1440,2500,False,34486.41245082541,4792.692411459262,34486.41245082541,0.8297117457073844,41102.38808126264,18300.56681417356,1.3811654174708593e-05,3.3798184217728444e-05,99.40120827227412,23875.345115836186,48952.020019704076,7173294.248447782,12688.863287594046,23720930.233275663,31075779.078012306,273.2009937539848,"{""co2_steelworks"": 239999.9978299341, ""co2_nyrstar"": 399999.99767018197, ""co2_santos_moomba"": 1699999.9974848023, ""co2_adbri_cement"": 999999.9972696665, ""co2_doc_spencer_gulf"": 1999999.9952216323, ""co2_dac"": 25735779.092536088}",1530000.0003269066,4590000.003320382,3570000.001456305,510000.0000154269,1605.0799254648093,3791.5990789000116,1543.8839217174236,3650.0105825190226,7342751890.017212,9107027607.220491,19025401462.322285,8489933725.792252,10.2,21756600011.31045,38873103809.63328,17116503798.322826,1678.0886076787085,1488.3916346367675,960.3163477545181,0.00011416169292002979,1.663628904251651e-06,3.806225553640998e-06,14968.496710742758,174.65753695307967,523.9726057845231,407.53424940674034,25.5,7.917948243681307e-09,3.306404599812732e-05,6.249104693646063e-06,3.1245523468230317e-06,1.0415174489410105e-06,1.1058857377657895e-08,6.381025564539885e-05,1.2060138316980383e-05,6.030069158490192e-06,2.010023052830064e-06,9.687430164352618e-05,1.8309243010626447e-05,9.154621505313223e-06,3.051540501771074e-06,7.095050060089614e-07,0.005169657239525335,0.0030759460575175736,0.0010985521633991337,0.00021971043267982675,3.4114960703018906e-07,0.0011869560460136448,0.00023145642897266075,9.644017873860864e-05,5.786410724316519e-05,135.2739725977396,1184999.9944167158,3159968.3851113915,1540499.9927417305,4.592228610851016e-05,1184999.9956036718,0.005169657239525335,3.306404599812732e-05,6.381025564539884e-05,119999.9992137133,239999.99913794696,599999.9989968577,74999.99917084782,149999.9990843061,0.004470054116140717,0.0006996031233846178,3.306404599812732e-05,3.233013621384021e-05,3.1480119431558634e-05
2027,imo_binding,True,1980.0,0.11,2400,2550,1600,2500,True,-0.0,0.0,0.0,0.0,1.955815462033177e-15,1.7349330315023243e-15,3.7048960302947695e-15,3.5438340919664325e-15,1.7886841003848054e-17,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,"{""co2_nyrstar"": 0.0, ""co2_dac"": 0.0}",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,imo_binding,True,1800.0,0.11,2300,2450,1530,2500,True,-0.0,0.0,0.0,0.0,5.729934634500302e-15,5.059164026399308e-15,1.116952537702358e-14,1.1274458102658132e-14,3.7008388025270815e-17,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,"{""co2_nyrstar"": 0.0, ""co2_dac"": 0.0}",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.7,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
